收银台,收银台,收银台,收银台,收银台,女牛仔九分裤/抓绒牛仔裤,女牛仔九分裤/抓绒牛仔裤,女牛仔九分裤/抓绒牛仔裤,牛仔直筒裤/牛仔阔腿裤,牛仔直筒裤/牛仔阔腿裤,女牛仔九分裤喇叭/九分喇叭裤,0,试衣间,库房,库房,库房
收银台,收银台,收银台,收银台,收银台,0,0,0,,0,0,女毛衣/开衫毛衣,试衣间,库房,库房,库房
收银台,收银台,收银台,收银台,收银台,0,女九分裤&九分阔腿裤,女九分裤&九分阔腿裤,,0,0,女毛衣/开衫毛衣,0,试衣间,库房,库房
收银台,收银台,收银台,收银台,收银台,0,女九分裤&九分阔腿裤,女九分裤&九分阔腿裤,,0,0,女毛衣/开衫毛衣,0,试衣间,库房,库房
收银台,收银台,收银台,收银台,收银台,0,长裤&加厚长长裤,长裤&加厚长长裤,0,0,0,0,0,试衣间,库房,库房
男牛仔九分裤/牛仔裤&抓绒牛仔裤,0,0,0,0,0,长裤&加厚长长裤,长裤&加厚长长裤,0,0,0,0,0,试衣间,库房,库房
男牛仔九分裤/牛仔裤&抓绒牛仔裤,0,男牛仔九分裤,牛仔裤&抓绒牛仔裤,0,0,0,0,0,0,,,,,,
男九分裤,0,男牛仔九分裤,牛仔裤&抓绒牛仔裤,0,0,抓绒针织裤,抓绒打底裤,0,女抓绒卫衣,,,,,,
男九分裤,0,男运动裤,男长裤&抓绒长裤,0,0,女针织裤,女打底裤,0,女抓绒卫衣,,,,,,
男九分裤,0,男运动裤,男长裤&抓绒长裤,0,0,0,0,0,女卫衣A2/女其它卫衣&T恤,,,,,,
男九分裤,0,0,0,0,0,其它衬衣,长裤&加厚长长裤,0,女卫衣A2/女其它卫衣&T恤,,,,,,
男毛衣&开衫毛衣/深秋毛衣,0,0,0,0,0,女衬衣C5,女九分裤&九分阔腿裤,0,女卫衣A3/女卫衣A1,,,,,,
男毛衣&开衫毛衣/深秋毛衣,0,男薄棉外套&呢外套,男针织裤&抓绒针织裤,0,0,女家居服&女半裙,0,0,女卫衣A3/女卫衣A1,,,,,,
男抓绒卫衣&加绒卫衣/抓绒开衫卫衣,0,男羽绒服,女中袖衬衣&中袖衫,0,0,0,0,0,女卫衣A3/女卫衣A1,,,,,,
男抓绒卫衣&加绒卫衣/抓绒开衫卫衣,0,男针织裤,0,0,0,0,女中袖T恤,0,女卫衣A3/女卫衣A1,,,,,,
男卫衣A1#男卫衣A3/男其它卫衣&开衫卫衣,0,0,0,0,0,0,女中袖T恤,0,女棉背心,,,,,,
男卫衣A1#男卫衣A3/男其它卫衣&开衫卫衣,0,男中袖T恤,0,0,0,0,0,0,女棉背心,,,,,,
男卫衣A2#男卫衣A4/男卫衣A1#男卫衣A3,0,男T恤&底衫,0,0,0,0,女毛衣&开衫毛衣,0,女薄棉外套/呢外套,,,,,,
男卫衣A2#男卫衣A4/男卫衣A1#男卫衣A3,0,0,0,0,0,0,女中袖毛衣&中袖开衫毛衣,0,女薄棉外套/呢外套,,,,,,
0,0,中袖衬衣,0,0,0,0,女毛线背心&女牛仔裤,0,矩框/女羽绒服/加绒外套&毛绒外套,,,,,,
男卫衣A2/男卫衣A4,0,男棉背心&衬衣,0,0,0,0,0,0,矩框/女羽绒服/加绒外套&毛绒外套,,,,,,
男卫衣A2/男卫衣A4,0,0,0,0,0,女毛绒家居服,底衫,0,矩框/女羽绒服/加绒外套&毛绒外套,,,,,,
矩框/男防晒服&外套,0,小饰品,0,0,0,女毛绒家居服,女打底毛衣,0,矩框/女羽绒服/加绒外套&毛绒外套,,,,,,
矩框/男防晒服&外套,0,男卫衣,男毛衣A3,0,0,女连衣裙,0,0,女外套/防晒服,,,,,,
男外套A4/男外套C1,0,男卫衣,男毛衣A3,0,0,0,0,0,女外套A4/牛仔外套,,,,,,
男外套A4/男外套C1,0,0,0,0,0,女卫衣,女卫衣,0,女外套A4/牛仔外套,,,,,,
男外套A2/男外套A5,0,0,0,0,0,长裤/加厚长长裤,女卫衣,0,女外套A3,,,,,,
男外套A2/男外套A5,0,0,0,0,0,,,0,女外套A3,,,,,,
0,门口,门口,门口,0,0,门口,门口,门口,0,,,,,,
